Date,PS3 player count
12/11/2017,1200600
12/12/2017,1201000
12/13/2017,1201400
12/14/2017,1201700
12/15/2017,1201900
12/16/2017,1202500
12/17/2017,1203300
12/18/2017,1203700
12/19/2017,1204000
12/20/2017,1204300
12/21/2017,1204800
12/22/2017,1205200
12/23/2017,1205800
12/24/2017,1206400
12/25/2017,1207400
12/26/2017,1209300
12/27/2017,1210200
12/28/2017,1211500
12/29/2017,1212800
12/30/2017,1213700
12/31/2017,1214500
1/1/2018,1215600
1/2/2018,1216400
1/3/2018,1217000
1/4/2018,1217700
1/5/2018,1218500
1/6/2018,1219600
1/7/2018,1220300
1/8/2018,1220800
1/9/2018,1221500
1/10/2018,1221900
1/11/2018,1222400
1/12/2018,1223000
1/13/2018,1224200
1/14/2018,1224800
1/15/2018,1225500
1/16/2018,1225700
1/17/2018,1226200
1/18/2018,1226700
1/19/2018,1227400
1/20/2018,1227900
1/21/2018,1228700
1/22/2018,1229300
1/23/2018,1229700
1/24/2018,1230200
1/25/2018,1230500
1/26/2018,1230900
1/27/2018,1231600
1/28/2018,1232300
1/29/2018,1232800
1/30/2018,1233100
1/31/2018,1233500
2/1/2018,1233700
2/2/2018,1233900
2/3/2018,1234500
2/4/2018,1235600
2/5/2018,1235800
2/6/2018,1236000
2/7/2018,1236500
2/8/2018,1236900
2/9/2018,1237100
2/10/2018,1237700
2/11/2018,1238400
2/12/2018,1239100
2/13/2018,1239500
2/14/2018,1240200
2/15/2018,1240600
2/16/2018,1241000
2/17/2018,1241900
2/18/2018,1242600
2/19/2018,1242900
2/20/2018,1243200
2/21/2018,1243500
2/22/2018,1243900
2/23/2018,1244300
2/24/2018,1244900
2/25/2018,1245500
2/26/2018,1245800
2/27/2018,1246300
2/28/2018,1246800
3/1/2018,1246900
3/2/2018,1247300
3/3/2018,1247600
3/4/2018,1248600
3/5/2018,1249000
3/6/2018,1249200
3/7/2018,1249700
3/8/2018,1250100
3/9/2018,1250700
3/10/2018,1251300
3/11/2018,1252000
3/12/2018,1252300
3/13/2018,1252500
3/14/2018,1252900
3/15/2018,1253200
3/16/2018,1253700
3/17/2018,1254300
3/18/2018,1254900
3/19/2018,1255400
3/20/2018,1255800
3/21/2018,1256200
3/22/2018,1256500
3/23/2018,1256900
3/24/2018,1257400
3/25/2018,1258100
3/26/2018,1258400
3/27/2018,1258600
3/28/2018,1258900
3/29/2018,1259400
3/30/2018,1259900
3/31/2018,1260400
4/1/2018,1261100
4/2/2018,1261600
4/3/2018,1261900
4/4/2018,1262200
4/5/2018,1262500
4/6/2018,1262900
4/7/2018,1263400
4/8/2018,1263800
4/9/2018,1264300
4/10/2018,1264700
4/11/2018,1265200
4/12/2018,1265300
4/13/2018,1265500
4/14/2018,1266100
4/15/2018,1266700
4/16/2018,1267100
4/17/2018,1267200
4/18/2018,1267500
4/19/2018,1267600
4/20/2018,1268000
4/21/2018,1268400
4/22/2018,1268700
4/23/2018,1269000
4/24/2018,1269300
4/25/2018,1269400
4/26/2018,1269800
4/27/2018,1270100
4/28/2018,1270500
4/29/2018,1271000
4/30/2018,1271400
5/1/2018,1271800
5/2/2018,1272000
5/3/2018,1272100
5/4/2018,1272500
5/5/2018,1273000
5/6/2018,1273500
5/7/2018,1273600
5/8/2018,1273700
5/9/2018,1273900
5/10/2018,1274100
5/11/2018,1274400
5/12/2018,1274700
5/13/2018,1275100
5/14/2018,1275500
5/15/2018,1275900
5/16/2018,1276100
5/17/2018,1276200
5/18/2018,1276500
5/19/2018,1276800
5/20/2018,1277100
5/21/2018,1277700
5/22/2018,1278100
5/23/2018,1278500
5/24/2018,1278500
5/25/2018,1278900
5/26/2018,1279300
5/27/2018,1279800
5/28/2018,1280100
5/29/2018,1280400
5/30/2018,1280700
5/31/2018,1281000
6/1/2018,1281100
6/2/2018,1281500
6/3/2018,1282100
6/4/2018,1282200
6/5/2018,1282600
6/6/2018,1282700
6/7/2018,1283000
6/8/2018,1283300
6/9/2018,1283900
6/10/2018,1284600
6/11/2018,1284700
6/12/2018,1285000
6/13/2018,1285600
6/14/2018,1286100
6/15/2018,1286500
6/16/2018,1287000
6/17/2018,1287300
6/18/2018,1287700
6/19/2018,1288000
6/20/2018,1288600
6/21/2018,1289000
6/22/2018,1289400
6/23/2018,1290000
6/24/2018,1290300
6/25/2018,1290600
6/26/2018,1291000
6/27/2018,1291400
6/28/2018,1291600
6/29/2018,1291900
6/30/2018,1292400
7/1/2018,1292900
7/2/2018,1293300
7/3/2018,1293600
7/4/2018,1293800
7/5/2018,1294000
7/6/2018,1294400
7/7/2018,1294800
7/8/2018,1295000
7/9/2018,1295400
7/10/2018,1295900
7/11/2018,1296300
7/12/2018,1296600
7/13/2018,1296900
7/14/2018,1297300
7/15/2018,1297700
